"var";"var_name"
"pl_name";"Planet Name"
"hostname";"Host Name"
"pl_letter";"Planet Letter"
"hd_name";"HD ID"
"hip_name";"HIP ID"
"tic_id";"TIC ID"
"gaia_id";"GAIA ID"
"default_flag";"Default Parameter Set"
"sy_snum";"Number of Stars"
"sy_pnum";"Number of Planets"
"sy_mnum";"Number of Moons"
"cb_flag";"Circumbinary Flag"
"discoverymethod";"Discovery Method"
"disc_year";"Discovery Year"
"disc_refname";"Discovery Reference"
"disc_pubdate";"Discovery Publication Date"
"disc_locale";"Discovery Locale"
"disc_facility";"Discovery Facility"
"disc_telescope";"Discovery Telescope"
"disc_instrument";"Discovery Instrument"
"rv_flag";"Detected by Radial Velocity Variations"
"pul_flag";"Detected by Pulsar Timing Variations"
"ptv_flag";"Detected by Pulsation Timing Variations"
"tran_flag";"Detected by Transits"
"ast_flag";"Detected by Astrometric Variations"
"obm_flag";"Detected by Orbital Brightness Modulations"
"micro_flag";"Detected by Microlensing"
"etv_flag";"Detected by Eclipse Timing Variations"
"ima_flag";"Detected by Imaging"
"dkin_flag";"Detected by Disk Kinematics"
"soltype";"Solution Type"
"pl_controv_flag";"Controversial Flag"
"pl_refname";"Planetary Parameter Reference"
"pl_orbper";"Orbital Period (days)"
"pl_orbsmax";"Orbit Semi-Major Axis (au))"
"pl_rade";"Planet Radius (Earth Radius)"
"pl_radj";"Planet Radius (Jupiter Radius)"
"pl_masse";"Planet Mass (Earth Mass)"
"pl_massj";"Planet Mass (Jupiter Mass)"
"pl_msinie";"Planet Mass*sin(i) (Earth Mass)"
"pl_msinij";"Planet Mass*sin(i) (Jupiter Mass)"
"pl_cmasse";"Planet Mass*sin(i)/sin(i) (Earth Mass)"
"pl_cmassj";"Planet Mass*sin(i)/sin(i) (Jupiter Mass)"
"pl_bmasse";"Planet Mass or Mass*sin(i) (Earth Mass)"
"pl_bmassj";"Planet Mass or Mass*sin(i) (Jupiter Mass)"
"pl_bmassprov";"Planet Mass or Mass*sin(i) Provenance"
"pl_dens";"Planet Density (g/cm**3)"
"pl_orbeccen";"Eccentricity"
"pl_insol";"Insolation Flux (Earth Flux)"
"pl_eqt";"Equilibrium Temperature (K)"
"pl_orbincl";"Inclination (deg)"
"pl_tranmid";"Transit Midpoint (days)"
"pl_tsystemref";"Time Reference Frame and Standard"
"ttv_flag";"Data show Transit Timing Variations"
"pl_imppar";"Impact Parameter"
"pl_trandep";"Transit Depth (%)"
"pl_trandur";"Transit Duration (hours)"
"pl_ratdor";"Ratio of Semi-Major Axis to Stellar Radius"
"pl_ratror";"Ratio of Planet to Stellar Radius"
"pl_occdep";"Occultation Depth (%)"
"pl_orbtper";"Epoch of Periastron (days)"
"pl_orblper";"Argument of Periastron (deg)"
"pl_rvamp";"Radial Velocity Amplitude (m/s)"
"pl_projobliq";"Projected Obliquity (deg)"
"pl_trueobliq";"True Obliquity (deg)"
"st_refname";"Stellar Parameter Reference"
"st_spectype";"Spectral Type"
"st_teff";"Stellar Effective Temperature (K)"
"st_rad";"Stellar Radius (Solar Radius)"
"st_mass";"Stellar Mass (Solar mass)"
"st_met";"Stellar Metallicity (dex)"
"st_metratio";"Stellar Metallicity Ratio"
"st_lum";"Stellar Luminosity (log(Solar))"
"st_logg";"Stellar Surface Gravity (log10(cm/s**2))"
"st_age";"Stellar Age (Gyr)"
"st_dens";"Stellar Density (g/cm**3)"
"st_vsin";"Stellar Rotational Velocity (km/s)"
"st_rotp";"Stellar Rotational Period (days)"
"st_radv";"Systemic Radial Velocity (km/s)"
"sy_refname";"System Parameter Reference"
"rastr";"RA (sexagesimal)"
"ra";"RA (deg)"
"decstr";"Dec (sexagesimal)"
"dec";"Dec (deg)"
"glat";"Galactic Latitude (deg)"
"glon";"Galactic Longitude (deg)"
"elat";"Ecliptic Latitude (deg)"
"elon";"Ecliptic Longitude (deg)"
"sy_pm";"Total Proper Motion (mas/yr)"
"sy_pmra";"Proper Motion (RA) (mas/yr)"
"sy_pmdec";"Proper Motion (Dec) (mas/yr)"
"sy_dist";"Distance (pc)"
"sy_plx";"Parallax (mas)"
"sy_bmag";"B (Johnson) Magnitude"
"sy_vmag";"V (Johnson) Magnitude"
"sy_jmag";"J (2MASS) Magnitude"
"sy_hmag";"H (2MASS) Magnitude"
"sy_kmag";"Ks (2MASS) Magnitude"
"sy_umag";"u (Sloan) Magnitude"
"sy_gmag";"g (Sloan) Magnitude"
"sy_rmag";"r (Sloan) Magnitude"
"sy_imag";"i (Sloan) Magnitude"
"sy_zmag";"z (Sloan) Magnitude"
"sy_w1mag";"W1 (WISE) Magnitude"
"sy_w2mag";"W2 (WISE) Magnitude"
"sy_w3mag";"W3 (WISE) Magnitude"
"sy_w4mag";"W4 (WISE) Magnitude"
"sy_gaiamag";"Gaia Magnitude"
"sy_icmag";"I (Cousins) Magnitude"
"sy_tmag";"TESS Magnitude"
"sy_kepmag";"Kepler Magnitude"
"rowupdate";"Date of Last Update"
"pl_pubdate";"Planetary Parameter Reference Publication Date"
"releasedate";"Release Date"
"pl_nnotes";"Number of Notes"
"st_nphot";"Number of Photometry Time Series"
"st_nrvc";"Number of Radial Velocity Time Series"
"st_nspec";"Number of Stellar Spectra Measurements"
"pl_nespec";"Number of Emission Spectroscopy Measurements"
"pl_ntranspec";"Number of Transmission Spectroscopy Measurements"
